level,file,backend,ratio,input_vertices,input_faces,output_vertices,output_faces,collapses,boundary_rejections,normal_flip_rejections,normalized_error,absolute_error,reached_target,simplify_ms
100,result/web/models/tv_furniture_752d373f3c76\lod_100.obj,meshopt,1,15034,30440,15034,30440,0,0,0,0,0,yes,0
095,result/web/models/tv_furniture_752d373f3c76\lod_095.obj,meshopt,0.95,15034,30440,14273,28470,1970,0,0,0,0,yes,12
090,result/web/models/tv_furniture_752d373f3c76\lod_090.obj,meshopt,0.9,15034,30440,13512,26948,3492,0,0,0,0,yes,12
085,result/web/models/tv_furniture_752d373f3c76\lod_085.obj,meshopt,0.85,15034,30440,12751,25426,5014,0,0,0,0,yes,13
080,result/web/models/tv_furniture_752d373f3c76\lod_080.obj,meshopt,0.8,15034,30440,11990,23904,6536,0,0,0,0,yes,12
075,result/web/models/tv_furniture_752d373f3c76\lod_075.obj,meshopt,0.75,15034,30440,11453,22830,7610,0,0,0,0,yes,15
070,result/web/models/tv_furniture_752d373f3c76\lod_070.obj,meshopt,0.7,15034,30440,10692,21308,9132,0,0,0,0,yes,18
065,result/web/models/tv_furniture_752d373f3c76\lod_065.obj,meshopt,0.65,15034,30440,9931,19786,10654,0,0,2.86925e-05,0.00271033,yes,25
060,result/web/models/tv_furniture_752d373f3c76\lod_060.obj,meshopt,0.6,15034,30440,9170,18264,12176,0,0,4.17725e-05,0.00394588,yes,18
055,result/web/models/tv_furniture_752d373f3c76\lod_055.obj,meshopt,0.55,15034,30440,8409,16742,13698,0,0,4.53978e-05,0.00428833,yes,17
050,result/web/models/tv_furniture_752d373f3c76\lod_050.obj,meshopt,0.5,15034,30440,7648,15220,15220,0,0,5.8795e-05,0.00555385,yes,17
045,result/web/models/tv_furniture_752d373f3c76\lod_045.obj,meshopt,0.45,15034,30440,6887,13698,16742,0,0,7.3178e-05,0.00691248,yes,19
040,result/web/models/tv_furniture_752d373f3c76\lod_040.obj,meshopt,0.4,15034,30440,6126,12176,18264,0,0,8.94431e-05,0.00844891,yes,18
035,result/web/models/tv_furniture_752d373f3c76\lod_035.obj,meshopt,0.35,15034,30440,5365,10654,19786,0,0,0.000118054,0.0111515,yes,18
030,result/web/models/tv_furniture_752d373f3c76\lod_030.obj,meshopt,0.3,15034,30440,4604,9132,21308,0,0,0.000139486,0.013176,yes,18
025,result/web/models/tv_furniture_752d373f3c76\lod_025.obj,meshopt,0.25,15034,30440,3843,7610,22830,0,0,0.000181101,0.017107,yes,18
020,result/web/models/tv_furniture_752d373f3c76\lod_020.obj,meshopt,0.2,15034,30440,3082,6088,24352,0,0,0.000211062,0.0199372,yes,20
018,result/web/models/tv_furniture_752d373f3c76\lod_018.obj,meshopt,0.18,15034,30440,2778,5480,24960,0,0,0.000243789,0.0230286,yes,19
016,result/web/models/tv_furniture_752d373f3c76\lod_016.obj,meshopt,0.16,15034,30440,2473,4870,25570,0,0,0.00026588,0.0251154,yes,19
014,result/web/models/tv_furniture_752d373f3c76\lod_014.obj,meshopt,0.14,15034,30440,2169,4262,26178,0,0,0.000286153,0.0270304,yes,20
012,result/web/models/tv_furniture_752d373f3c76\lod_012.obj,meshopt,0.12,15034,30440,1864,3652,26788,0,0,0.000344341,0.0325269,yes,19
010,result/web/models/tv_furniture_752d373f3c76\lod_010.obj,meshopt,0.1,15034,30440,1560,3044,27396,0,0,0.000385445,0.0364096,yes,19
008,result/web/models/tv_furniture_752d373f3c76\lod_008.obj,meshopt,0.08,15034,30440,1256,2436,28004,0,0,0.000487632,0.0460623,yes,19
006,result/web/models/tv_furniture_752d373f3c76\lod_006.obj,meshopt,0.06,15034,30440,951,1826,28614,0,0,0.000679235,0.0641614,yes,19
004,result/web/models/tv_furniture_752d373f3c76\lod_004.obj,meshopt,0.04,15034,30440,647,1218,29222,0,0,0.00179869,0.169906,yes,19
003,result/web/models/tv_furniture_752d373f3c76\lod_003.obj,meshopt,0.03,15034,30440,495,914,29526,0,0,0.00468269,0.442332,yes,19
002,result/web/models/tv_furniture_752d373f3c76\lod_002.obj,meshopt,0.02,15034,30440,318,608,29832,0,0,0.0233187,2.20271,yes,20
001,result/web/models/tv_furniture_752d373f3c76\lod_001.obj,meshopt,0.01,15034,30440,200,416,30024,0,0,0.359546,33.9632,no,20
